Playlist,Channel Number,Total Channels in Playlist,Channel Status,Group Name,Channel Name,Channel ID,Codec,Bit Rate (kbps),Resolution,Frame Rate,Audio,Error Reason
playlist.m3u,17,12381,Geoblocked,LALAJO / INDONESIA TV,ANTV,index.mpd,Unknown,Unknown,Unknown,,Unknown,
playlist.m3u,20,12381,Dead,LALAJO / INDONESIA TV,KOMPAS TV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,3,12381,Dead,LALAJO / INDONESIA TV,MNCTV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,15,12381,Dead,LALAJO / INDONESIA TV,TRANS TV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,16,12381,Dead,LALAJO / INDONESIA TV,TRANS 7,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,5,12381,Dead,LALAJO / INDONESIA TV,GTV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,7,12381,Dead,LALAJO / INDONESIA TV,INEWS,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,19,12381,Dead,LALAJO / INDONESIA TV,TVONE,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,4,12381,Dead,LALAJO / INDONESIA TV,MNCTV WORLD,live.php?mac=00:1B:79:F0:81:7F&stream=1919420&extension=ts&play_token=JRjuGlw0qo,Unknown,Unknown,Unknown,,Unknown,Connection error
playlist.m3u,9,12381,Dead,LALAJO / INDONESIA TV,SCTV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,6,12381,Dead,LALAJO / INDONESIA TV,GTV WORLD,live.php?mac=00:1B:79:F0:81:7F&stream=1919441&extension=ts&play_token=kdXrrtWwYD,Unknown,Unknown,Unknown,,Unknown,HTTP 458
playlist.m3u,21,12381,Dead,LALAJO / INDONESIA TV,METRO TV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,1,12381,Dead,LALAJO / INDONESIA TV,RCTI,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,29,12381,Dead,LALAJO / INDONESIA TV,MDTV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,11,12381,Dead,LALAJO / INDONESIA TV,INDOSIAR,manifest.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,13,12381,Geoblocked,LALAJO / INDONESIA TV,MOJI,MOJIOChannel.mpd,Unknown,Unknown,Unknown,,Unknown,
playlist.m3u,25,12381,Dead,LALAJO / INDONESIA TV,BERITASATU,manifest.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,18,12381,Geoblocked,LALAJO / INDONESIA TV,RTV,index.m3u8?app_type=web&userid=lite&chname=RTV,Unknown,Unknown,Unknown,,Unknown,
playlist.m3u,34,12381,Geoblocked,LALAJO / INDONESIA TV,JAKTV,JAKTV.mpd,Unknown,Unknown,Unknown,,Unknown,
playlist.m3u,31,12381,Geoblocked,LALAJO / INDONESIA TV,JTV,JTV.mpd,Unknown,Unknown,Unknown,,Unknown,
playlist.m3u,35,12381,Geoblocked,LALAJO / INDONESIA TV,NUSANTARA TV,index.m3u8?app_type=web&userid=lite&chname=Nusantara_TV_NTV-,Unknown,Unknown,Unknown,,Unknown,
playlist.m3u,28,12381,Geoblocked,LALAJO / INDONESIA TV,DAAI TV,DAAITV.mpd,Unknown,Unknown,Unknown,,Unknown,
playlist.m3u,37,12381,Dead,LALAJO / INDONESIA TV,BALI TV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,38,12381,Dead,LALAJO / INDONESIA TV,BANDUNG TV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,40,12381,Dead,LALAJO / INDONESIA TV,ANTARA TV,manifest.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,45,12381,Dead,LALAJO / INDONESIA TV,HANACARAKA TV,index.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,42,12381,Dead,LALAJO / INDONESIA TV,SIN PO TV,manifest.mpd,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,30,12381,Dead,LALAJO / INDONESIA TV,BN TV,5.0,Unknown,Unknown,Unknown,,Unknown,Insufficient data received
playlist.m3u,10,12381,Alive,LALAJO / INDONESIA TV,SCTV DIGITAL,index.m3u8,Unknown,N/A,Unknown,,Unknown,
playlist.m3u,2,12381,Alive,LALAJO / INDONESIA TV,RCTI LIVE SPORTS,index.m3u8,Unknown,N/A,Unknown,,Unknown,
